"cik_str","ticker","title"
320193,"AAPL","Apple Inc."
789019,"MSFT","MICROSOFT CORP"
1067983,"BRK-B","BERKSHIRE HATHAWAY INC"
731766,"UNH","UNITEDHEALTH GROUP INC"
34088,"XOM","EXXON MOBIL CORP"
200406,"JNJ","JOHNSON & JOHNSON"
19617,"JPM","JPMORGAN CHASE & CO"
104169,"WMT","Walmart Inc."
1045810,"NVDA","NVIDIA CORP"
93410,"CVX","CHEVRON CORP"
59478,"LLY","ELI LILLY & Co"
884394,"SPY","SPDR S&P 500 ETF TRUST"
1046179,"TSM","TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD"
824046,"LVMUY","LVMH MOET HENNESSY LOUIS VUITTON"
80424,"PG","PROCTER & GAMBLE Co"
1141391,"MA","Mastercard Inc"
354950,"HD","HOME DEPOT, INC."
70858,"BAC","BANK OF AMERICA CORP /DE/"
78003,"PFE","PFIZER INC"
1551152,"ABBV","AbbVie Inc."
353278,"NVO","NOVO NORDISK A S"
21344,"KO","COCA COLA CO"
310158,"MRK","Merck & Co., Inc."
77476,"PEP","PEPSICO INC"
909832,"COST","COSTCO WHOLESALE CORP /NEW"
63908,"MCD","MCDONALDS CORP"
937966,"ASML","ASML HOLDING NV"
1341439,"ORCL","ORACLE CORP"
1730168,"AVGO","Broadcom Inc."
97745,"TMO","THERMO FISHER SCIENTIFIC INC."
1318605,"TSLA","Tesla, Inc."
1094517,"TM","TOYOTA MOTOR CORP/"
901832,"AZN","ASTRAZENECA PLC"
858877,"CSCO","CISCO SYSTEMS, INC."
72971,"WFC","WELLS FARGO & COMPANY/MN"
1283699,"TMUS","T-Mobile US, Inc."
1577552,"BABA","Alibaba Group Holding Ltd"
1114448,"NVS","NOVARTIS AG"
1744489,"DIS","Walt Disney Co"
313616,"DHR","DANAHER CORP /DE/"
14272,"BMY","BRISTOL MYERS SQUIBB CO"
1163165,"COP","CONOCOPHILLIPS"
1800,"ABT","ABBOTT LABORATORIES"
1467373,"ACN","Accenture plc"
1707925,"LIN","LINDE PLC"
732712,"VZ","VERIZON COMMUNICATIONS INC"
318154,"AMGN","AMGEN INC"
97476,"TXN","TEXAS INSTRUMENTS INC"
753308,"NEE","NEXTERA ENERGY INC"
895421,"MS","MORGAN STANLEY"
316709,"SCHW","SCHWAB CHARLES CORP"
879764,"TTE","TotalEnergies SE"
320187,"NKE","NIKE, Inc."
1090727,"UPS","UNITED PARCEL SERVICE INC"
1166691,"CMCSA","COMCAST CORP"
773840,"HON","HONEYWELL INTERNATIONAL INC"
1108524,"CRM","Salesforce, Inc."
